cluster_id	Amplitude	ContamPct	KSLabel	amp	ch	depth	fr	group	n_spikes	sh
0	5570.90000000	22.70000000	mua	515.63024902	1	150.00000000	4.01907830	good	54784	0
1	4896.90000000	0.00000000	good	560.30993652	2	300.00000000	0.64015912	noise	8726	0
2	6501.80000000	25.40000000	mua	538.40112305	3	450.00000000	18.44796850	good	251464	0
3	5899.00000000	26.90000000	mua	503.86816406	4	600.00000000	18.65242914	good	254251	0
4	6129.20000000	39.90000000	mua	546.82122803	5	750.00000000	14.08936964	good	192052	0
5	4966.70000000	15.00000000	mua	488.48883057	6	900.00000000	12.14262859	good	165516	0
6	5659.40000000	21.50000000	mua	538.91363525	7	1050.00000000	7.94718740	good	108328	0
7	5226.00000000	8.40000000	good	570.54473877	8	1200.00000000	2.78960011	good	38025	0
8	5159.10000000	37.50000000	mua	558.49182129	9	1350.00000000	0.67302542	noise	9174	0
9	12085.50000000	29.10000000	mua	583.92687988	10	1500.00000000	8.85020351	good	120637	0
10	5330.50000000	7.70000000	mua	563.95446777	11	1650.00000000	1.29036887	noise	17589	0
11	5809.80000000	11.40000000	mua	593.27264404	12	1800.00000000	1.00689708	noise	13725	0
12	6696.80000000	63.80000000	mua	595.18383789	17	2550.00000000	2.09801404	good	28598	0
13	5821.30000000	28.90000000	mua	534.76483154	18	2700.00000000	10.06515598	good	137198	0
14	5293.70000000	9.60000000	mua	557.66857910	19	2850.00000000	0.73817111	noise	10062	0
15	7447.00000000	47.10000000	mua	558.21624756	20	3000.00000000	10.67098156	good	145456	0
16	6159.30000000	33.50000000	mua	536.51629639	21	3150.00000000	10.01703033	good	136542	0
17	6296.40000000	34.30000000	mua	555.00860596	22	3300.00000000	9.80809460	good	133694	0
18	8340.70000000	68.20000000	mua	562.83538818	23	3450.00000000	12.16786521	good	165860	0
19	13085.30000000	26.60000000	mua	561.13830566	24	3600.00000000	8.23689498	good	112277	0
20	7941.50000000	0.00000000	mua	581.45788574	25	3750.00000000	0.01628642	noise	222	0
21	5499.30000000	39.20000000	mua	492.93301392	26	3900.00000000	10.18649716	good	138852	0
22	6602.20000000	15.90000000	mua	544.81402588	2	300.00000000	6.67449883	good	90980	0
23	7420.10000000	32.30000000	mua	555.93237305	8	1200.00000000	7.16580592	good	97677	0
24	6861.20000000	25.90000000	mua	531.13769531	9	1350.00000000	6.45221117	good	87950	0
25	7497.80000000	30.30000000	mua	541.24426270	11	1650.00000000	6.60355752	good	90013	0
26	8243.60000000	27.50000000	mua	581.03314209	12	1800.00000000	3.67699006	good	50121	0
27	8758.10000000	34.90000000	mua	597.94775391	17	2550.00000000	0.41904526	noise	5712	0
28	6456.00000000	18.60000000	mua	567.91979980	19	2850.00000000	3.99296134	good	54428	0
29	8235.70000000	0.00000000	good	509.26739502	25	3750.00000000	0.12478921	noise	1701	0
30	14279.60000000	18.90000000	mua	586.34985352	17	2550.00000000	0.40796755	noise	5561	0
31	10160.10000000	19.00000000	mua	551.57373047	19	2850.00000000	1.25522835	noise	17110	0
